topic	title	date	contributor	feature_id	description	idiom	village	value	comment	examples	source	original_name	original_transcription
converbs	"""аорист"""	2018-02-12	AF			Abzakh		-zə	конверб будущего времени		[Кумахова 1972: 76-77]	аорист	-зы
converbs	"""аорист"""	2018-02-12	AF			Abzakh		-jə, -jə-zə			[Кумахова 1972: 76-77]	аорист	-и, -изы
converbs	"""аорист"""	2018-02-12	AF			SWC		-jə			[Кумахова 1972: 76]	аорист	-и
converbs	"""инфинитный аорист"""	2018-02-12	AF		При перечислении последовательно произошедших в прошлом событий, глагол, обозначающий первое из них, оформляется разными суффиксами.	Bzhedug		-jə, -jəŝ, -ejəŝ			[Ситимова 2004: 85-86]		
converbs	"""инфинитный аорист"""	2018-02-12	AF		При перечислении последовательно произошедших в прошлом событий, глагол, обозначающий первое из них, оформляется разными суффиксами.	Shapsug		-jə			[Ситимова 2004: 85-86]		
converbs	"""инфинитный аорист"""	2018-02-12	AF		При перечислении последовательно произошедших в прошлом событий, глагол, обозначающий первое из них, оформляется разными суффиксами.	Abzakh		-jə, -zə, -zjə			[Ситимова 2004: 85-86]		
converbs	"""инфинитный аорист"""	2018-02-12	AF		При перечислении последовательно произошедших в прошлом событий, глагол, обозначающий первое из них, оформляется разными суффиксами.	Temirgoi		-ŝə, -ŝjə, иногда -ŝərjə			[Ситимова 2004: 85-86]		
converbs	"""инфинитный аорист"""	2018-02-12	AF		При перечислении последовательно произошедших в прошлом событий, глагол, обозначающий первое из них, оформляется разными суффиксами.	Abzakh		-zə			[Тхаркахо 1993: 84]		
converbs	"""инфинитный аорист"""	2018-02-12	AF		При перечислении последовательно произошедших в прошлом событий, глагол, обозначающий первое из них, оформляется разными суффиксами.	Temirgoi		-ŝə, -ŝjə			[Тхаркахо 1993: 84]		
conjunctions	"""хотя и"""	2018-02-12	AF			Shapsug		нэмыIэми, нахь мышIэми, ныIэ мыIэми, нахь мыIэми			[Керашева 1957: 277]		
conjunctions	"""хотя и"""	2018-02-12	AF			SWC		нэмыIэми			[Керашева 1957: 277]		
morphonology	/e/~/ə/	2018-02-13	AF		В [Ситимова 2004: 101-102] даны пары словоформ, отличающиеся гласными в начальных префиксах (ze-, pə-, ṗe-/ṗə-, je-, š'ə-, ʔʷe-, ŝʷe-): в бжедугских формах префиксы содержат гласную ə, а в темиргоевских — гласную e. Но непонятно, из-за чего возникает эта разница.	Bzhedug					[Ситимова 2004: 101-102]		
morphonology	/e/~/ə/	2018-02-13	AF		В [Ситимова 2004: 101-102] даны пары словоформ, отличающиеся гласными в начальных префиксах (ze-, pə-, ṗe-/ṗə-, je-, š'ə-, ʔʷe-, ŝʷe-): в бжедугских формах префиксы содержат гласную ə, а в темиргоевских — гласную e. Но непонятно, из-за чего возникает эта разница.	Temirgoi					[Ситимова 2004: 101-102]		
indexing	2pl pronoun + 2sg index	2018-02-12	AF			Shapsug		да			[Керашева 1957: 259-260]		
